,Word,Frequency,FamilySize,SynsetCount,Length,Class,FreqSingular,FreqPlural,DerivEntropy,Complex,rInfl,meanWeightRating,meanSizeRating,meanFamiliarity
1,almond,4.204693,0,1.0986123,6,plant,24,42,0,simplex,-0.54232429,1.486,1.8912,3.72
2,ant,5.347108,1.3862944,1.0986123,3,animal,69,140,0.562,simplex,-0.70026465,3.3489,3.6275,3.6
3,apple,6.304449,1.0986123,1.0986123,5,plant,315,231,0.496,simplex,0.30900484,2.1948,2.473,5.84
4,apricot,3.828641,0,1.3862944,7,plant,26,19,0,simplex,0.30010459,1.3216,1.7597,4.4
5,asparagus,3.663562,0,1.0986123,9,plant,19,19,0,simplex,0,1.4424,1.866,3.68
6,avocado,3.433987,0,1.3862944,7,plant,24,6,0,simplex,1.27296568,1.3256,1.7737,4.12
7,badger,5.056246,0.6931472,1.3862944,6,animal,53,78,0.6349,simplex,-0.38046381,3.0476,3.3692,2.12
8,banana,5.023881,0,1.0986123,6,plant,74,77,0,simplex,-0.03922071,1.7189,2.0802,5.68
9,bat,5.918894,2.1972246,2.3025851,3,animal,155,103,2.2641,simplex,0.40546511,2.1666,2.5589,3.2
10,beaver,3.951244,0,2.0794415,6,animal,37,14,0,simplex,0.92953596,2.8413,3.2347,2.2
11,bee,5.700444,1.7917595,1.0986123,3,animal,118,180,0.8521,simplex,-0.41937354,3.3756,3.6399,4.56
12,beetroot,3.555348,0,1.0986123,8,plant,15,19,0,complex,-0.22314355,1.4442,1.8705,3.88
13,blackberry,4.060443,0.6931472,1.3862944,10,plant,26,31,0.3492,complex,-0.16989904,1.1365,1.5831,3.28
14,blueberry,2.484907,0,1.0986123,9,plant,7,4,0,complex,0.47000363,1.6507,2.0858,3.76
15,broccoli,2.833213,0,1.0986123,8,plant,16,0,0,simplex,2.83321334,1.5459,1.9817,4.96
16,bunny,3.332205,0,1.0986123,5,animal,19,8,0,simplex,0.7985077,3.271,3.615,3.4
17,butterfly,5.214936,0,1.0986123,9,animal,88,95,0,complex,-0.07571182,3.6141,3.8757,4.08
18,camel,6.109248,0.6931472,0.6931472,5,animal,146,303,0.1012,simplex,-0.72659511,4.2654,4.4303,2.72
19,carrot,4.976734,0.6931472,1.6094379,6,plant,45,99,0.0594,simplex,-0.77652879,1.4437,1.8449,5.48
20,cat,7.086738,2.7725887,2.1972246,3,animal,739,456,0.6845,simplex,0.4819668,4.1296,4.3152,5.64
21,cherry,4.997212,0.6931472,1.6094379,6,plant,83,49,0.4754,simplex,0.51879379,1.2081,1.6278,3.88
22,chicken,6.59987,1.0986123,1.7917595,7,animal,534,200,0.0798,simplex,0.97896184,4.1964,4.3832,5.68
23,clove,3.663562,0,1.6094379,5,plant,16,22,0,simplex,-0.30228087,1.2208,1.6785,3.12
24,crocodile,4.615121,0,0.6931472,9,animal,35,65,0,simplex,-0.6061358,3.5655,3.8372,3.36
25,cucumber,4.454347,0,1.0986123,8,plant,54,31,0,simplex,0.54159728,1.5357,1.9295,4.48
26,dog,7.667626,3.1354942,2.0794415,3,animal,1233,828,1.2129,simplex,0.39779605,4.5167,4.6429,6.04
27,dolphin,4.007333,0,1.0986123,7,animal,24,30,0,simplex,-0.21511138,3.272,3.598,3.88
28,donkey,5.541264,0,1.0986123,6,animal,162,92,0.037,simplex,0.56115071,3.7598,3.9986,3.48
29,eagle,5.117994,1.0986123,1.7917595,5,animal,129,37,0.7235,simplex,1.22994829,2.8461,3.1948,2.88
30,eggplant,1.791759,0,1.0986123,8,plant,4,1,0,complex,0.91629073,1.9674,2.3908,3.16
31,elephant,6.063785,0.6931472,1.0986123,8,animal,113,316,0.213,simplex,-1.02270333,3.9911,4.1927,3.88
32,fox,5.652489,1.7917595,1.9459101,3,animal,177,100,1.2335,simplex,0.56666303,2.7558,3.0987,3.24
33,frog,5.129899,2.0794415,1.3862944,4,animal,74,94,1.0456,simplex,-0.23638878,2.8385,3.1746,3.76
