,survived,pclass,sex,age,sibsp,parch,fare,embarked,adult_male,alone
0,0,3,1,22.0,1,0,7.25,2,1,0
1,1,1,0,38.0,1,0,71.2833,0,0,0
2,1,3,0,26.0,0,0,7.925,2,0,1
3,1,1,0,35.0,1,0,53.1,2,0,0
4,0,3,1,35.0,0,0,8.05,2,1,1
5,0,3,1,28.0,0,0,8.4583,1,1,1
6,0,1,1,54.0,0,0,51.8625,2,1,1
7,0,3,1,2.0,3,1,21.075,2,0,0
8,1,3,0,27.0,0,2,11.1333,2,0,0
9,1,2,0,14.0,1,0,30.0708,0,0,0
10,1,3,0,4.0,1,1,16.7,2,0,0
11,1,1,0,58.0,0,0,26.55,2,0,1
12,0,3,1,20.0,0,0,8.05,2,1,1
13,0,3,1,39.0,1,5,31.275,2,1,0
14,0,3,0,14.0,0,0,7.8542,2,0,1
15,1,2,0,55.0,0,0,16.0,2,0,1
16,0,3,1,2.0,4,1,29.125,1,0,0
17,1,2,1,28.0,0,0,13.0,2,1,1
18,0,3,0,31.0,1,0,18.0,2,0,0
19,1,3,0,28.0,0,0,7.225,0,0,1
20,0,2,1,35.0,0,0,26.0,2,1,1
21,1,2,1,34.0,0,0,13.0,2,1,1
22,1,3,0,15.0,0,0,8.0292,1,0,1
23,1,1,1,28.0,0,0,35.5,2,1,1
24,0,3,0,8.0,3,1,21.075,2,0,0
25,1,3,0,38.0,1,5,31.3875,2,0,0
26,0,3,1,28.0,0,0,7.225,0,1,1
27,0,1,1,19.0,3,2,263.0,2,1,0
28,1,3,0,28.0,0,0,7.8792,1,0,1
29,0,3,1,28.0,0,0,7.8958,2,1,1
30,0,1,1,40.0,0,0,27.7208,0,1,1
31,1,1,0,28.0,1,0,146.5208,0,0,0
32,1,3,0,28.0,0,0,7.75,1,0,1
33,0,2,1,66.0,0,0,10.5,2,1,1
34,0,1,1,28.0,1,0,82.1708,0,1,0
35,0,1,1,42.0,1,0,52.0,2,1,0
36,1,3,1,28.0,0,0,7.2292,0,1,1
37,0,3,1,21.0,0,0,8.05,2,1,1
38,0,3,0,18.0,2,0,18.0,2,0,0
39,1,3,0,14.0,1,0,11.2417,0,0,0
40,0,3,0,40.0,1,0,9.475,2,0,0
41,0,2,0,27.0,1,0,21.0,2,0,0
42,0,3,1,28.0,0,0,7.8958,0,1,1
43,1,2,0,3.0,1,2,41.5792,0,0,0
44,1,3,0,19.0,0,0,7.8792,1,0,1
45,0,3,1,28.0,0,0,8.05,2,1,1
46,0,3,1,28.0,1,0,15.5,1,1,0
47,1,3,0,28.0,0,0,7.75,1,0,1
48,0,3,1,28.0,2,0,21.6792,0,1,0
49,0,3,0,18.0,1,0,17.8,2,0,0
50,0,3,1,7.0,4,1,39.6875,2,0,0
51,0,3,1,21.0,0,0,7.8,2,1,1
52,1,1,0,49.0,1,0,76.7292,0,0,0
53,1,2,0,29.0,1,0,26.0,2,0,0
54,0,1,1,65.0,0,1,61.9792,0,1,0
55,1,1,1,28.0,0,0,35.5,2,1,1
56,1,2,0,21.0,0,0,10.5,2,0,1
57,0,3,1,28.5,0,0,7.2292,0,1,1
58,1,2,0,5.0,1,2,27.75,2,0,0
