Word,Length,Freq,Mean_RT
marveled,8,131,819.19
persuaders,10,82,977.63
midmost,7,0,908.22
crutch,6,592,766.3
resuspension,12,2,1125.42
efflorescent,12,9,948.33
row,3,14013,641.67
expansively,11,15,816.94
joblessness,11,48,931.13
jumpy,5,290,654.12
enjoys,6,3264,583.81
screws,6,3523,667.18
euphemistic,11,46,1054.77
owed,4,1733,737.33
intricately,11,192,931.04
feathery,8,78,748.1
magistrate,10,640,849.67
drunkard's,10,6,914.5
conclusions,11,7718,620.79
menstruate,10,39,910.72
unpublished,11,1412,978.81
inequity,8,256,871.68
speakeasy,9,75,948.11
abstractors,11,0,942.86
poker,5,4519,636.56
pushes,6,2089,595.31
goof,4,716,692.45
failure,7,23998,751.29
dessertspoon,12,11,1314.33
informing,9,2146,787.81
moneys,6,269,676.72
preset,6,702,762.75
synthesis,9,6742,755.57
bandage,7,331,792.45
chunky,6,1274,652.24
succinct,8,408,759.32
jewelled,8,272,819.93
gaieties,8,8,997.33
maturing,8,393,817.45
stinger,7,419,728.34
bottling,8,600,752.41
mechanic's,10,67,832.55
spelled,7,4687,713.94
straightway,11,21,768.41
campuses,8,1380,816.67
diagnostic,10,3749,748.47
teletype,8,183,1013.69
race,4,46405,564.18
sanitary,8,472,769.26
buffeted,8,33,886.24
subsidiary,10,3348,849
sandalwood,10,52,798.36
nether,6,4796,938.2
dowry,5,226,911.75
Lucifer's,9,138,768.07
overcoats,9,44,724.09
incombustible,13,0,915.96
boatloads,9,57,837.38
staminate,9,0,841.18
denominated,11,185,1089
introject,9,2,913.53
comb,4,1614,677.91
land,4,75075,594.15
discourage,10,2760,685.53
gallows,7,279,741.31
recruiting,10,11468,716.9
organizational,14,3601,904.47
prefab,6,110,750.25
cavalcade,9,127,860.29
acquisitiveness,15,4,1216.81
forwards,8,1898,633.09
lazybones,9,3,788.94
acorn,5,8301,721.96
parsons,7,2713,761.07
riverbank,9,39,633.71
kinky,5,1591,733.74
contingent,10,1538,782.07
roadworthy,10,11,980.25
outspan,7,0,812.39
receptionist's,14,19,923.74
shrunken,8,148,883.5
metabolism,10,1759,669.24
wingspread,10,12,907.39
hum,3,2850,726
soothsayer,10,54,814.52
tatters,7,86,763.55
repeated,8,10161,663.79
lenient,7,377,872.55
fertile,7,1394,648
spare,5,10605,681.13
club's,6,757,641.06
minced,6,775,775.59
drain,5,14860,602.09
justice,7,31679,576.58
numerology,10,181,792.93
powwow,6,158,876.56
backdoor,8,429,710.63
maladjusted,11,93,875.27
Elaine,6,2434,627.11
diacritical,11,162,1458.75
